Name,City,IATA Code,Destination Count,Latitude,Longitude
Venetie Airport,Venetie,VEE,2,67.0086975098,-146.365997314
Changde Airport,Changde,CGD,8,28.9188995361,111.63999939
Lianshui Airport,Huai An,HIA,12,33.7908333333,119.125
Saga Airport,Saga,HSG,3,33.149700164799995,130.302001953
Hyakuri Airport,Ibaraki,IBR,5,36.181098938000005,140.414993286
Kaohsiung International Airport,Kaohsiung,KHH,65,22.57710075378418,120.3499984741211
Luoyang Airport,Luoyang,LYA,9,34.741100311299995,112.38800048799999
Takamatsu Airport,Takamatsu,TAK,8,34.214199066199996,134.01600647
Zunyi Xinzhou Airport,Zunyi,ZYI,15,27.5895,107.0007
Kalamazoo Battle Creek International Airport,Kalamazoo,AZO,6,42.234901428222656,-85.5521011352539
Lovell Field,Chattanooga,CHA,16,35.03530120849609,-85.20379638671875
Yeager Airport,Charleston,CRW,6,38.37310028076172,-81.59320068359375
Cincinnati Northern Kentucky International Airport,Cincinnati,CVG,75,39.0488014221,-84.6678009033
Detroit Metropolitan Wayne County Airport,Detroit,DTW,216,42.212398529052734,-83.35340118408203
Evansville Regional Airport,Evansville,EVV,9,38.0369987488,-87.53240203860001
Fort Wayne International Airport,Fort Wayne,FWA,16,40.97850037,-85.19509888
Grand Forks International Airport,Grand Forks,GFK,5,47.949298999999996,-97.176102
Piedmont Triad International Airport,Greensboro,GSO,25,36.097801208496094,-79.93730163574219
Greenville Spartanburg International Airport,Greenville,GSP,29,34.895698547399995,-82.2189025879
Capital City Airport,Lansing,LAN,8,42.77870178222656,-84.58740234375
Blue Grass Airport,Lexington KY,LEX,20,38.0364990234375,-84.60590362548828
La Guardia Airport,New York,LGA,158,40.77719879,-73.87259674
MBS International Airport,Saginaw,MBS,5,43.532901763916016,-84.07959747314453
Harrisburg International Airport,Harrisburg,MDT,20,40.1935005188,-76.7633972168
Memphis International Airport,Memphis,MEM,58,35.04240036010742,-89.97669982910156
Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,MSP,218,44.882,-93.221802
Louis Armstrong New Orleans International Airport,New Orleans,MSY,123,29.99340057373047,-90.25800323486328
Roanoke–Blacksburg Regional Airport,Roanoke VA,ROA,15,37.3255,-79.975403
Syracuse Hancock International Airport,Syracuse,SYR,26,43.11119842529297,-76.1063003540039
Thief River Falls Regional Airport,Thief River Falls,TVF,1,48.06570053,-96.18499756
McGhee Tyson Airport,Knoxville,TYS,31,35.81100082,-83.99400329999999
Northwest Arkansas Regional Airport,Bentonville,XNA,24,36.281898,-94.30680100000001
Nantucket Memorial Airport,Nantucket,ACK,6,41.25310135,-70.06020355
Albany International Airport,Albany,ALB,31,42.74829864501953,-73.80169677734375
Augusta State Airport,Augusta,AUG,1,44.320598602299995,-69.7973022461
Clayton J Lloyd International Airport,The Valley,AXA,6,18.2048,-63.055099
Hancock County-Bar Harbor Airport,Bar Harbor,BHB,1,44.45000076,-68.36150359999999
Billings Logan International Airport,Billings,BIL,12,45.807701110839844,-108.54299926757812
General Edward Lawrence Logan International Airport,Boston,BOS,212,42.36429977,-71.00520325
Cape Girardeau Regional Airport,Cape Girardeau,CGI,1,37.22529983520508,-89.57080078125
Benjamin Rivera Noriega Airport,Culebra Island,CPX,1,18.313289,-65.304324
Terrance B. Lettsome International Airport,Tortola,EIS,12,18.444799423217773,-64.54299926757811
New Bedford Regional Airport,New Bedford,EWB,3,41.67610168457031,-70.95690155029297
Dawson Community Airport,Glendive,GDV,1,47.13869858,-104.8069992
Wokal Field Glasgow International Airport,Glasgow,GGW,1,48.212502,-106.614998
Westchester County Airport,White Plains,HPN,23,41.06700134277344,-73.70760345458984
Havre City County Airport,Havre,HVR,1,48.54299927,-109.762001
Barnstable Municipal Boardman Polando Field,Barnstable,HYA,2,41.66930008,-70.28040314
Kirksville Regional Airport,Kirksville,IRK,1,40.09349822998047,-92.5448989868164
Lebanon Municipal Airport,Lebanon,LEB,2,43.626098632799994,-72.30419921880002
Eugenio Maria De Hostos Airport,Mayaguez,MAZ,1,18.255699157714844,-67.14849853515625
Massena International Richards Field,Massena,MSS,1,44.93579864501953,-74.84559631347656
Martha's Vineyard Airport,Vineyard Haven MA,MVY,4,41.393100738499996,-70.6143035889
Williamson County Regional Airport,Marion,MWA,1,37.75500107,-89.01110077
Ogdensburg International Airport,Ogdensburg,OGS,1,44.681900024399994,-75.46549987790002
L M Clayton Airport,Wolf Point,OLF,1,48.0945014954,-105.57499694799999
Owensboro Daviess County Airport,Owensboro,OWB,2,37.74010086,-87.16680145
Provincetown Municipal Airport,Provincetown,PVC,1,42.071899414099995,-70.2213973999
Knox County Regional Airport,Rockland,RKD,1,44.06010056,-69.09919739
Rutland - Southern Vermont Regional Airport,Rutland,RUT,1,43.52939987,-72.94960022
Sidney - Richland Regional Airport,Sidney,SDY,1,47.706902,-104.193001
Luis Munoz Marin International Airport,San Juan,SJU,102,18.4393997192,-66.0018005371
Adirondack Regional Airport,Saranac Lake,SLK,1,44.38529968261719,-74.2061996459961
Cyril E. King Airport,St. Thomas,STT,34,18.337299346923828,-64.97339630126953
Henry E Rohlsen Airport,St. Croix Island,STX,9,17.701900482177734,-64.79859924316406
Waynesville-St. Robert Regional Forney field,Fort Leonardwood,TBN,1,37.74160004,-92.14070129
Quincy Regional Baldwin Field,Quincy,UIN,1,39.94269943,-91.19460297
Virgin Gorda Airport,Spanish Town,VIJ,4,18.446399688720703,-64.42749786376953
Vieques Airport,Vieques Island,VQS,6,18.1158008575,-65.4226989746
Dawson Creek Airport,Dawson Creek,YDQ,2,55.7422981262207,-120.18299865722656
Kamloops Airport,Kamloops,YKA,5,50.702201843299996,-120.444000244
Lloydminster Airport,Lloydminster,YLL,1,53.30920028686523,-110.072998046875
High Level Airport,High Level,YOJ,2,58.62139892578125,-117.16500091552734
Rainbow Lake Airport,Rainbow Lake,YOP,2,58.49140167236328,-119.40799713134766
Quesnel Airport,Quesnel,YQZ,4,53.026100158691406,-122.51000213623048
Fort St John Airport,Fort Saint John,YXJ,6,56.23809814453125,-120.73999786376952
Prince George Airport,Prince George,YXS,10,53.8894004822,-122.679000854
Northwest Regional Airport Terrace-Kitimat,Terrace,YXT,5,54.468498,-128.576009
Smithers Airport,Smithers,YYD,4,54.82469940185547,-127.18299865722656
Fort Nelson Airport,Fort Nelson,YYE,3,58.8363990784,-122.59700012200001
San Pedro Airport,San Pedro,SPR,11,17.9139,-87.9711
JAGS McCartney International Airport,Cockburn Town,GDT,4,21.444499969482425,-71.14230346679688
Providenciales Airport,Providenciales,PLS,31,21.77359962463379,-72.26589965820312
Salt Cay Airport,Salt Cay,SLX,1,21.3330001831,-71.1999969482
Araracuara Airport,Araracuara,ACR,2,-0.5833,-72.4083
Gustavo Rojas Pinilla International Airport,San Andres Island,ADZ,11,12.5836,-81.7112
Antonio Roldan Betancourt Airport,Carepa,APO,4,7.811960000000001,-76.7164
Santiago Perez Airport,Arauca,AUC,2,7.06888,-70.7369
José Celestino Mutis Airport,Bahia Solano,BSC,1,6.20292,-77.3947
Gerardo Tobar López Airport,Buenaventura,BUN,2,3.81963,-76.9898
Las Brujas Airport,Corozal,CZU,2,9.33274,-75.2856
Enrique Olaya Herrera Airport,Medellin,EOH,11,6.220549,-75.590582
Gustavo Artunduaga Paredes Airport,Florencia,FLA,2,1.5891899999999999,-75.5644
Juan Casiano Airport,Guapi,GPI,2,2.57013,-77.8986
San Luis Airport,Ipiales,IPI,1,0.861925,-77.6718
Alfredo Vásquez Cobo International Airport,Leticia,LET,6,-4.19355,-69.9432
La Pedrera Airport,La Pedrera,LPD,1,-1.32861,-69.5797
Caucaya Airport,Puerto Leguízamo,LQM,1,-0.182278,-74.7708
Fabio Alberto Leon Bentley Airport,Mitu,MVP,3,1.25366,-70.2339
Reyes Murillo Airport,Nuquí,NQU,1,5.6964,-77.2806
German Olano Airport,Puerto Carreno,PCR,3,6.1847199999999996,-67.4932
Obando Airport,Puerto Inírida,PDA,3,3.85353,-67.9062
Antonio Narino Airport,Pasto,PSO,3,1.39625,-77.2915
Tres De Mayo Airport,Puerto Asis,PUU,4,0.505228,-76.5008
El Embrujo Airport,Providencia,PVA,1,13.3569,-81.3583
Los Colonizadores Airport,Saravena,RVE,2,6.951867999999999,-71.857179
Jorge E. Gonzalez Torres Airport,San Jose Del Guaviare,SJE,2,2.5796900000000003,-72.6394
Eduardo Falla Solano Airport,San Vincente De Caguan,SVI,2,2.15217,-74.7663
Gustavo Vargas Airport,Tame,TME,2,6.45108,-71.7603
El Caraño Airport,Quibdo,UIB,6,5.69076,-76.6412
Villa Garzón Airport,Villa Garzon,VGZ,1,0.978767,-76.6056
Vanguardia Airport,Villavicencio,VVC,8,4.16787,-73.6138
Paris Beauvais Tillé Airport,Beauvais,BVA,60,49.45439910888672,2.1127800941467285
Boryspil International Airport,Kiev,KBP,102,50.34500122070313,30.89469909667969
Chişinău International Airport,Chisinau,KIV,34,46.92770004272461,28.93099975585937
Henri Coandă International Airport,Bucharest,OTP,112,44.5711111,26.085
General José Antonio Anzoategui International Airport,Barcelona,BLA,11,10.111111,-64.692222
Barinas Airport,Barinas,BNS,2,8.615,-70.21416667
Alberto Carnevalli Airport,Merida,MRD,2,8.582078,-71.161041
Del Caribe Santiago Mariño International Airport,Porlamar,PMV,20,10.912603378295898,-63.96659851074219
Tocumen International Airport,Panama City,PTY,106,9.0713596344,-79.3834991455
General Manuel Carlos Piar International Airport,Guayana,PZO,11,8.288530349731445,-62.7603988647461
Dr. Antonio Nicolás Briceño Airport,Valera,VLV,2,9.34047794342041,-70.58406066894531
Lengpui Airport,Aizwal,AJL,6,23.8405990601,92.6196975708
Sri Guru Ram Dass Jee International Airport,Amritsar,ATQ,9,31.7096004486,74.7973022461
Abu Dhabi International Airport,Abu Dhabi,AUH,241,24.433000564575195,54.651100158691406
Bahrain International Airport,Bahrain,BAH,84,26.27079963684082,50.63359832763672
Bhuj Airport,Bhuj,BHJ,2,23.2877998352,69.6701965332
Raja Bhoj International Airport,Bhopal,BHO,6,23.2875003815,77.33740234380001
Bhavnagar Airport,Bhaunagar,BHU,2,21.752199173,72.18520355220001
Calicut International Airport,Calicut,CCJ,31,11.1367998123,75.95529937740001
Bandaranaike International Colombo Airport,Colombo,CMB,101,7.180759906768799,79.88410186767578
Dehradun Airport,Dehra Dun,DED,5,30.189698999999997,78.180298
Diu Airport,Diu,DIU,2,20.71310043334961,70.92109680175781
King Fahd International Airport,Dammam,DMM,82,26.471200942993164,49.79790115356445
Hamad International Airport,Doha,DOH,189,25.273056,51.608056
Newark Liberty International Airport,Newark,EWR,253,40.69250106811523,-74.168701171875
Gorakhpur Airport,Gorakhpur,GOP,2,26.739700317399997,83.44969940189999
Mangalore International Airport,Mangalore,IXE,15,12.961299896199998,74.89009857180001
Leh Kushok Bakula Rimpochee Airport,Leh,IXL,6,34.135898590100005,77.5465011597
Madurai Airport,Madurai,IXM,8,9.83450984955,78.09339904790002
Silchar Airport,Silchar,IXS,7,24.912900924699997,92.97869873049999
Aurangabad Airport,Aurangabad,IXU,5,19.862699508666992,75.39810180664062
Vir Savarkar International Airport,Port Blair,IXZ,11,11.641200065612793,92.72969818115234
Jodhpur Airport,Jodhpur,JDH,6,26.25110054016113,73.04889678955078
Kuwait International Airport,Kuwait,KWI,120,29.226600646972656,47.96889877319336
Porbandar Airport,Porbandar,PBD,2,21.6487007141,69.65720367429999
Rajkot Airport,Rajkot,RAJ,3,22.3092002869,70.77950286869998
Rajahmundry Airport,Rajahmundry,RJA,3,17.1103992462,81.81819915770001
King Khaled International Airport,Riyadh,RUH,137,24.957599639892575,46.69879913330078
Tiruchirapally Civil Airport Airport,Tiruchirappalli,TRZ,9,10.765399932861328,78.70970153808594
Maharana Pratap Airport,Udaipur,UDR,7,24.617700576799997,73.89610290530001
Lester B. Pearson International Airport,Toronto,YYZ,319,43.6772003174,-79.63059997559999
Chios Island National Airport,Chios,JKH,6,38.34320068359375,26.14060020446777
Sitia Airport,Sitia,JSH,5,35.21609878540039,26.101299285888672
Kalamata Airport,Kalamata,KLX,10,37.06829833984375,22.02549934387207
Samos Airport,Samos,SMI,9,37.68999862670898,26.911699295043945
Karpathos Airport,Karpathos,AOK,6,35.4213981628418,27.145999908447266
Dimokritos Airport,Alexandroupolis,AXD,3,40.855899810791016,25.956300735473636
Chania International Airport,Chania,CHQ,44,35.531700134277344,24.149700164794922
Kefallinia Airport,Keffallinia,EFL,6,38.12009811401367,20.5004997253418
Kiev Zhuliany International Airport,Kiev,IEV,22,50.40194,30.451940000000004
Ioannina Airport,Ioannina,IOA,2,39.6963996887207,20.82250022888184
Ikaria Airport,Ikaria,JIK,3,37.6827011108,26.3470993042
Kalymnos Airport,Kalymnos,JKL,6,36.963298797600004,26.9405994415
Naxos Airport,Cyclades Islands,JNX,2,37.0811004639,25.3680992126
Skiathos Island National Airport,Skiathos,JSI,2,39.177101135253906,23.503700256347656
Syros Airport,Syros Island,JSY,2,37.422798156700004,24.950899124099998
Astypalaia Airport,Astypalaia,JTY,4,36.5798988342,26.3757991791
Kithira Airport,Kithira,KIT,4,36.2742996216,23.0170001984
Kasos Airport,Kasos,KSJ,4,35.4213981628,26.909999847399998
Kastelorizo Airport,Kastelorizo,KZS,2,36.1417007446,29.5764007568
Leros Airport,Leros,LRS,6,37.184898,26.800301
Limnos Airport,Limnos,LXS,5,39.917098999000004,25.236299514799995
Mytilene International Airport,Mytilini,MJT,10,39.0567016602,26.5983009338
Milos Airport,Milos,MLO,2,36.696899,24.4769
Marseille Provence Airport,Marseille,MRS,136,43.439271921999996,5.22142410278
Nantes Atlantique Airport,Nantes,NTE,92,47.15319824220001,-1.61073005199
Paros National Airport,Paros,PAS,2,37.020495000000004,25.113195
Philadelphia International Airport,Philadelphia,PHL,289,39.87189865112305,-75.24109649658203
Skiros Airport,Skiros,SKU,3,38.967601776100004,24.4871997833
Sofia Airport,Sofia,SOF,66,42.696693420410156,23.411436080932614
Tirana International Airport Mother Teresa,Tirana,TIA,36,41.4146995544,19.7206001282
"Zakynthos International Airport ""Dionysios Solomos""",Zakynthos,ZTH,16,37.7509,20.8843
Yacuiba Airport,Yacuiba,BYC,4,-21.960899353027344,-63.65169906616211
Jorge Wilsterman International Airport,Cochabamba,CBB,8,-17.421100616455078,-66.17710113525389
Capitán Aníbal Arab Airport,Cobija,CIJ,2,-11.0403995514,-68.78299713130001
Capitán de Av. Emilio Beltrán Airport,Guayaramerín,GYA,1,-10.820599556,-65.34559631350001
El Alto International Airport,La Paz,LPB,26,-16.513299942016598,-68.19229888916016
Juan Mendoza Airport,Oruro,ORU,4,-17.962600708,-67.0762023926
Capitan Nicolas Rojas Airport,Potosi,POI,2,-19.543100357100002,-65.72370147710001
Capitán Av. Selin Zeitun Lopez Airport,Riberalta,RIB,1,-11.0,-66.0
El Trompillo Airport,Santa Cruz,SRZ,7,-17.8115997314,-63.1715011597
Teniente Av. Jorge Henrich Arauz Airport,Trinidad,TDD,8,-14.8186998367,-64.9179992676
Capitan Oriel Lea Plaza Airport,Tarija,TJA,8,-21.5557003021,-64.7013015747
Agen-La Garenne Airport,Agen,AGF,2,44.17470169067383,0.5905560255050659
Ajaccio-Napoléon Bonaparte Airport,Ajaccio,AJA,39,41.92359924316406,8.8029203414917
Aurillac Airport,Aurillac,AUR,1,44.89139938354492,2.4219400882720947
Brest Bretagne Airport,Brest,BES,17,48.4478988647461,-4.418540000915527
Biarritz-Anglet-Bayonne Airport,Biarritz-bayonne,BIQ,14,43.4683333,-1.5311111000000002
Brive Souillac Airport,Brive,BVE,5,45.039722,1.4855559999999999
Clermont-Ferrand Auvergne Airport,Clermont-Ferrand,CFE,9,45.786701202399996,3.1691699027999998
Caen-Carpiquet Airport,Caen,CFR,4,49.173301696777344,-0.44999998807907104
Castres-Mazamet Airport,Castres,DCM,3,43.55630111694336,2.289180040359497
Metz-Nancy-Lorraine Airport,Metz,ETZ,5,48.9821014404,6.25131988525
Peretola Airport,Florence,FLR,53,43.810001,11.2051
Figari Sud-Corse Airport,Figari,FSC,14,41.5005989074707,9.097780227661133
Gothenburg-Landvetter Airport,Gothenborg,GOT,52,57.662799835205,12.279800415039
Lannion-Côte de Granit Airport,Lannion,LAI,1,48.754397999999995,-3.47166
Tarbes-Lourdes-Pyrénées Airport,Tarbes,LDE,5,43.1786994934082,-0.006438999902456999
Lille-Lesquin Airport,Lille,LIL,40,50.563332,3.0868860000000002
La Rochelle-Île de Ré Airport,La Rochelle,LRH,10,46.17919921875,-1.1952799558639526
Lorient South Brittany (Bretagne Sud) Airport,Lorient,LRT,2,47.76060104370117,-3.440000057220459
Paris-Orly Airport,Paris,ORY,201,48.7233333,2.3794444
Perpignan-Rivesaltes (Llabanère) Airport,Perpignan,PGF,5,42.74039840698242,2.8706700801849365
Poitiers-Biard Airport,Poitiers,PIS,7,46.58769989013672,0.30666598677635193
Pau Pyrénées Airport,Pau,PUF,5,43.38000106811523,-0.4186109900474548
Rodez-Marcillac Airport,Rodez,RDZ,4,44.407901763916016,2.4826700687408447
Rennes-Saint-Jacques Airport,Rennes,RNS,13,48.0694999695,-1.73478996754
Strasbourg Airport,Strasbourg,SXB,34,48.53829956054688,7.628230094909668
Quimper-Cornouaille Airport,Quimper,UIP,1,47.974998474121094,-4.167789936065674
Entebbe International Airport,Entebbe,EBB,34,0.042386,32.443501
Kasese Airport,Kasese,KSE,1,0.18299999833106995,30.10000038146973
Batumi International Airport,Batumi,BUS,6,41.610298156700004,41.5997009277
Kopitnari Airport,Kutaisi,KUT,8,42.176700591999996,42.4826011658
Lehigh Valley International Airport,Allentown,ABE,13,40.652099609375,-75.44080352783203
Abilene Regional Airport,Abilene,ABI,2,32.4113006592,-99.68190002440001
Albuquerque International Sunport,Albuquerque,ABQ,42,35.040199,-106.609001
Aberdeen Dyce Airport,Aberdeen,ABZ,41,57.20190048217773,-2.1977798938751216
Waco Regional Airport,Waco,ACT,2,31.61129951477051,-97.23049926757812
Adelaide International Airport,Adelaide,ADL,51,-34.945,138.53100600000002
Alexandria International Airport,Alexandria,AEX,6,31.32740020751953,-92.54979705810548
Augusta Regional At Bush Field,Bush Field,AGS,7,33.36989974975586,-81.9645004272461
Auckland International Airport,Auckland,AKL,96,-37.0080986023,174.79200744599999
Waterloo Regional Airport,Waterloo,ALO,2,42.55709838867188,-92.40029907226562
Rick Husband Amarillo International Airport,Amarillo,AMA,10,35.219398,-101.706001
Rodríguez Ballón International Airport,Arequipa,AQP,10,-16.3411006927,-71.5830993652
Watertown International Airport,Watertown,ART,4,43.99190139770508,-76.02169799804688
Alice Springs Airport,Alice Springs,ASP,11,-23.806699752807614,133.90199279785156
Austin Bergstrom International Airport,Austin,AUS,83,30.194499969482425,-97.6698989868164
Asheville Regional Airport,Asheville,AVL,12,35.43619918823242,-82.54180145263672
Wilkes Barre Scranton International Airport,Scranton,AVP,9,41.338500976599995,-75.72339630130001
L.F. Wade International International Airport,Bermuda,BDA,15,32.363998413085945,-64.67870330810547
Bradley International Airport,Windsor Locks,BDL,51,41.9388999939,-72.68319702149999
Meadows Field,Bakersfield,BFL,6,35.43360138,-119.0569992
Sir Grantley Adams International Airport,Bridgetown,BGI,23,13.0746002197,-59.492500305200004
Greater Binghamton/Edwin A Link field,Binghamton,BGM,4,42.20869827,-75.97979736
Bangor International Airport,Bangor,BGR,8,44.80739974975586,-68.82810211181639
George Best Belfast City Airport,Belfast,BHD,21,54.61809921264648,-5.872499942779541
Birmingham-Shuttlesworth International Airport,Birmingham,BHM,36,33.56290054,-86.75350189
Del Bajío International Airport,Del Bajio,BJX,14,20.9935,-101.481003
Central Illinois Regional Airport at Bloomington-Normal,Bloomington,BMI,12,40.47710037,-88.91590118
Nashville International Airport,Nashville,BNA,82,36.1245002746582,-86.6781997680664
Brisbane International Airport,Brisbane,BNE,152,-27.38419914245605,153.11700439453125
Boise Air Terminal/Gowen Field,Boise,BOI,21,43.5644,-116.223
Southeast Texas Regional Airport,Beaumont,BPT,2,29.9507999420166,-94.02069854736328
Brownsville South Padre Island International Airport,Brownsville,BRO,3,25.90679931640625,-97.4259033203125
Baton Rouge Metropolitan Airport,Baton Rouge,BTR,8,30.533199,-91.149597
Burlington International Airport,Burlington,BTV,13,44.471900939899996,-73.15329742429998
Buffalo Niagara International Airport,Buffalo,BUF,36,42.94049835,-78.73220062
Bob Hope Airport,Burbank,BUR,18,34.200698852539055,-118.35900115966795
Baltimore/Washington International Thurgood Marshall Airport,Baltimore,BWI,142,39.1754,-76.668297
Columbia Metropolitan Airport,Columbia,CAE,17,33.93880081176758,-81.11949920654297
Akron Canton Regional Airport,Akron,CAK,22,40.916099548339844,-81.44219970703125
Canberra International Airport,Canberra,CBR,13,-35.30690002441406,149.19500732421875
Christchurch International Airport,Christchurch,CHC,34,-43.48939895629883,172.53199768066406
Charlottesville Albemarle Airport,Charlottesville VA,CHO,13,38.13859939575195,-78.4529037475586
Charleston Air Force Base-International Airport,Charleston,CHS,34,32.89860153,-80.04049683
The Eastern Iowa Airport,Cedar Rapids,CID,17,41.88470077514648,-91.71080017089844
Cleveland Hopkins International Airport,Cleveland,CLE,81,41.411701202399996,-81.8498001099
Easterwood Field,College Station,CLL,3,30.58860016,-96.36380005
John Glenn Columbus International Airport,Columbus,CMH,63,39.998001,-82.891899
University of Illinois Willard Airport,Champaign,CMI,4,40.03919983,-88.27809906
Tancredo Neves International Airport,Belo Horizonte,CNF,55,-19.62444305419922,-43.97194290161133
Cairns International Airport,Cairns,CNS,56,-16.885799408,145.755004883
City of Colorado Springs Municipal Airport,Colorado Springs,COS,13,38.805801,-104.70099599999999
Columbia Regional Airport,Columbia,COU,4,38.81809997558594,-92.21959686279295
Corpus Christi International Airport,Corpus Christi,CRP,5,27.77039909362793,-97.5011978149414
New Chitose Airport,Sapporo,CTS,81,42.77519989013672,141.69200134277344
Central Wisconsin Airport,Wassau,CWA,5,44.7775993347,-89.6668014526
Daytona Beach International Airport,Daytona Beach,DAB,5,29.179899,-81.058098
James M Cox Dayton International Airport,Dayton,DAY,32,39.90240097045898,-84.21939849853516
Dubuque Regional Airport,Dubuque IA,DBQ,2,42.40200043,-90.70950317
Ronald Reagan Washington National Airport,Washington,DCA,196,38.8521,-77.037697
Denver International Airport,Denver,DEN,361,39.861698150635,-104.672996521
Durango La Plata County Airport,Durango,DRO,5,37.1515007019,-107.75399780299999
Des Moines International Airport,Des Moines,DSM,29,41.53400039672852,-93.66310119628906
Elmira Corning Regional Airport,Elmira,ELM,6,42.1599006652832,-76.8916015625
El Paso International Airport,El Paso,ELP,24,31.80719948,-106.37799840000002
Erie International Tom Ridge Field,Erie,ERI,4,42.0831270134,-80.1738667488
Mahlon Sweet Field,Eugene,EUG,14,44.12459945678711,-123.21199798583984
Coastal Carolina Regional Airport,New Bern,EWN,5,35.0730018616,-77.04290008539998
Hector International Airport,Fargo,FAR,14,46.92070007324219,-96.81580352783205
Fresno Yosemite International Airport,Fresno,FAT,20,36.77619934082031,-119.71800231933594
Fayetteville Regional Grannis Field,Fayetteville,FAY,8,34.991199493408196,-78.88030242919922
Flagstaff Pulliam Airport,Flagstaff,FLG,2,35.13850021,-111.6709976
Florence Regional Airport,Florence,FLO,2,34.18539810180664,-79.7238998413086
Bishop International Airport,Flint,FNT,14,42.96540069580078,-83.74359893798828
Joe Foss Field Airport,Sioux Falls,FSD,13,43.5820007324,-96.741897583
Fort Smith Regional Airport,Fort Smith,FSM,5,35.33660125732422,-94.36740112304688
Garden City Regional Airport,Garden City,GCK,2,37.9275016785,-100.72399902299999
Owen Roberts International Airport,Georgetown,GCM,25,19.292800903299998,-81.3576965332
Spokane International Airport,Spokane,GEG,15,47.61989974975586,-117.53399658203124
East Texas Regional Airport,Longview,GGG,2,32.38399887084961,-94.71150207519531
Gibraltar Airport,Gibraltar,GIB,6,36.1511993408,-5.3496599197400005
Grand Junction Regional Airport,Grand Junction,GJT,8,39.1223983765,-108.527000427
Glasgow International Airport,Glasgow,GLA,100,55.8718986511,-4.43306016922
Point Salines International Airport,Point Salines,GND,14,12.004199981689453,-61.78620147705078
Gulfport Biloxi International Airport,Gulfport,GPT,9,30.40730094909668,-89.07009887695312
Austin Straubel International Airport,Green Bay,GRB,8,44.48509979248047,-88.12960052490234
Central Nebraska Regional Airport,Grand Island,GRI,4,40.96749877929688,-98.30960083007812
Robert Gray  Army Air Field Airport,Killeen,GRK,6,31.067199706999997,-97.8289031982
Gerald R. Ford International Airport,Grand Rapids,GRR,28,42.88079834,-85.52279663
Hilton Head Airport,Hilton Head Island,HHH,4,32.2243995667,-80.6975021362
Daniel K Inouye International Airport,Honolulu,HNL,118,21.32062,-157.924228
William P Hobby Airport,Houston,HOU,79,29.64539909,-95.27890015
Huntsville International Carl T Jones Field,Huntsville,HSV,18,34.637199401855,-86.775100708008
Tri-State/Milton J. Ferguson Field,Huntington,HTS,5,38.36669922,-82.55799866
Tweed New Haven Airport,New Haven,HVN,2,41.26369858,-72.88680267
Washington Dulles International Airport,Washington,IAD,196,38.94449997,-77.45580292
George Bush Intercontinental Houston Airport,Houston,IAH,243,29.98439979553223,-95.34140014648438
Wichita Eisenhower National Airport,Wichita,ICT,20,37.649899,-97.433098
Wilmington International Airport,Wilmington,ILM,13,34.27059936523437,-77.90260314941406
Indianapolis International Airport,Indianapolis,IND,69,39.7173,-86.294403
Williamsport Regional Airport,Williamsport,IPT,2,41.241798400878906,-76.92109680175781
Long Island Mac Arthur Airport,Islip,ISP,17,40.79520035,-73.10019684
Ithaca Tompkins Regional Airport,Ithaca,ITH,4,42.49100112915039,-76.4583969116211
Osaka International Airport,Osaka,ITM,42,34.785499572753906,135.43800354003906
Jackson-Medgar Wiley Evers International Airport,Jackson,JAN,18,32.3111991882,-90.0758972168
Joplin Regional Airport,Joplin,JLN,2,37.151798248291016,-94.49829864501952
Juneau International Airport,Juneau,JNU,20,58.35499954223633,-134.57600402832028
Inca Manco Capac International Airport,Juliaca,JUL,7,-15.467100143432615,-70.158203125
Ellison Onizuka Kona International At Keahole Airport,Kona,KOA,20,19.738782999999998,-156.045603
Lawton Fort Sill Regional Airport,Lawton,LAW,2,34.5676994324,-98.4166030884
Leeds Bradford Airport,Leeds,LBA,80,53.86589813232422,-1.6605700254440308
Lubbock Preston Smith International Airport,Lubbock,LBB,10,33.663601,-101.822998
Lake Charles Regional Airport,Lake Charles,LCH,3,30.12610054016113,-93.22329711914062
Lafayette Regional Airport,Lafayette,LFT,6,30.20529938,-91.98760223
Long Beach /Daugherty Field/ Airport,Long Beach,LGB,18,33.81769943,-118.15200039999999
Langkawi International Airport,Langkawi,LGK,17,6.329730033874513,99.72869873046876
Alama Iqbal International Airport,Lahore,LHE,56,31.5216007232666,74.40360260009766
Lihue Airport,Lihue,LIH,21,21.97599983215332,-159.33900451660156
Bill & Hillary Clinton National Airport/Adams Field,Little Rock,LIT,29,34.729400634799994,-92.22429656979999
Laredo International Airport,Laredo,LRD,4,27.543800354003906,-99.46160125732422
La Crosse Municipal Airport,La Crosse,LSE,3,43.879002,-91.256699
Luxembourg-Findel International Airport,Luxemburg,LUX,70,49.6233333,6.204444400000001
Lynchburg Regional Preston Glenn Field,Lynchburg,LYH,2,37.326698303222656,-79.20040130615234
Midland International Airport,Midland,MAF,8,31.9424991607666,-102.2020034790039
Eduardo Gomes International Airport,Manaus,MAO,32,-3.038609981536865,-60.04970169067383
Sangster International Airport,Montego Bay,MBJ,45,18.503700256347656,-77.91339874267578
Kansas City International Airport,Kansas City,MCI,82,39.2976,-94.713898
Mc Allen Miller International Airport,Mcallen,MFE,6,26.17580032,-98.23860168
Rogue Valley International Medford Airport,Medford,MFR,9,42.37419891357422,-122.8730010986328
